key,de,en,fr,es,it,pt,pt-BR,nl,pl,ru,tr,ja,ko,zh-Hans,zh-Hant,hi
tagesanalyseHeaderWasser,"Wasseranalyse","Water Analysis","Analyse de l'eau","Análisis de agua","Analisi dell'acqua","Análise da água","Análise da água","Wateranalyse","Analiza wody","Анализ воды","Su analizi","水分分析","수분 분석","饮水分析","飲水分析","जल विश्लेषण"
tagesanalyseHeaderSchlaf,"Schlafanalyse","Sleep Analysis","Analyse du sommeil","Análisis del sueño","Analisi del sonno","Análise do sono","Análise do sono","Slaapanalyse","Analiza snu","Анализ сна","Uyku analizi","睡眠分析","수면 분석","睡眠分析","睡眠分析","नींद विश्लेषण"
tagesanalyseHeaderKraft,"Kraftanalyse","Strength Analysis","Analyse de la force","Análisis de fuerza","Analisi della forza","Análise de força","Análise de força","Krachtanalyse","Analiza siły","Анализ силовых тренировок","Kuvvet analizi","筋力分析","근력 분석","力量分析","力量分析","शक्ति विश्लेषण"
tagesanalyseHeaderSchritte,"Schrittanalyse","Step Analysis","Analyse des pas","Análisis de pasos","Analisi dei passi","Análise de passos","Análise de passos","Stappenanalyse","Analiza kroków","Анализ шагов","Adım analizi","歩数分析","걸음 수 분석","步数分析","步數分析","कदम विश्लेषण"
tagesanalyseHeaderErnaehrung,"Ernährungsanalyse","Nutrition Analysis","Analyse nutritionnelle","Análisis nutricional","Analisi nutrizionale","Análise nutricional","Análise nutricional","Voedingsanalyse","Analiza odżywiania","Анализ питания","Beslenme analizi","栄養分析","영양 분석","营养分析","營養分析","पोषण विश्लेषण"
feedbackWasserRestMittag,"Noch %lld ml verbleiben bis zum Mittag.","%lld ml remaining until midday.","Il reste %lld ml jusqu'à midi.","Quedan %lld ml hasta el mediodía.","Mancano %lld ml a mezzogiorno.","Faltam %lld ml até ao meio-dia.","Faltam %lld ml até o meio-dia.","Nog %lld ml te gaan tot het middaguur.","Zostało %lld ml do południa.","Осталось %lld мл до полудня.","Öğleye kadar %lld ml kaldı.","正午まであと%lld ml。","정오까지 %lld ml 남음.","距中午还剩%lld毫升。","距中午還剩%lld毫升。","दोपहर तक %lld मिली बचा है。"
feedbackSchlafGut,"Guter Schlaf. Dein Körper konnte sich erholen.","Good sleep. Your body was able to recover.","Bon sommeil. Ton corps a pu récupérer.","Buen sueño. Tu cuerpo pudo recuperarse.","Buon sonno. Il tuo corpo ha potuto recuperare.","Bom sono. O teu corpo conseguiu recuperar.","Bom sono. Seu corpo conseguiu se recuperar.","Goede slaap. Je lichaam kon herstellen.","Dobry sen. Twoje ciało mogło się zregenerować.","Хороший сон. Организм смог восстановиться.","İyi uyku. Vücudun toparlanabildi.","良い睡眠です。体はしっかり回復できました。","좋은 수면입니다. 몸이 회복될 수 있었습니다.","睡眠良好,身体得到了充分恢复。","睡眠良好,身體得到了充分恢復。","अच्छी नींद। आपका शरीर ठीक हो सका。"
nutrientLabelProtein,"Protein","Protein","Protéines","Proteína","Proteine","Proteína","Proteína","Eiwit","Białko","Белок","Protein","たんぱく質","단백질","蛋白质","蛋白質","प्रोटीन"
nutrientLabelBallaststoffe,"Ballaststoffe","Fiber","Fibres","Fibra","Fibre","Fibra","Fibra","Vezels","Błonnik","Клетчатка","Lif","食物繊維","식이섬유","膳食纤维","膳食纖維","फाइबर"
feedbackNaehrstoffVage,"Dein Bedarf an einigen Vitaminen und Mineralstoffen wurde heute nicht gedeckt.","Your requirement for some vitamins and minerals was not met today.","Tes besoins en certaines vitamines et minéraux n'ont pas été couverts aujourd'hui.","Tu necesidad de algunas vitaminas y minerales no se cubrió hoy.","Il tuo fabbisogno di alcune vitamine e minerali non è stato soddisfatto oggi.","A tua necessidade de algumas vitaminas e minerais não foi atingida hoje.","Sua necessidade de algumas vitaminas e minerais não foi atendida hoje.","Je behoefte aan sommige vitaminen en mineralen is vandaag niet gedekt.","Twoje zapotrzebowanie na niektóre witaminy i minerały nie zostało dziś pokryte.","Потребность в некоторых витаминах и минералах сегодня не покрыта.","Bazı vitamin ve mineral ihtiyacın bugün karşılanmadı.","一部のビタミンとミネラルが本日の必要量に達していません。","오늘 일부 비타민과 미네랄 필요량이 충족되지 않았습니다.","今天部分维生素和矿物质摄入未达标。","今天部分維生素和礦物質攝取未達標。","आज कुछ विटामिन और खनिजों की आवश्यकता पूरी नहीं हुई。"
